Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{2: 0.86},2,PIP,0.8,882,0.923,0.926,"{0: 0.972, 1: 0.911, 2: 0.862, 3: 0.9}","{0: 0.973, 1: 0.911, 2: 0.858, 3: 0.959}","{0: 0.852, 1: 0.984, 2: 0.99, 3: 0.841}","{0: 0.848, 1: 0.992, 2: 0.995, 3: 0.854}"
{2: 0.86},2,ISA-PIP,0.801,361,0.922,0.925,"{0: 0.968, 1: 0.905, 2: 0.87, 3: 0.923}","{0: 0.971, 1: 0.904, 2: 0.869, 3: 0.972}","{0: 0.849, 1: 0.987, 2: 0.99, 3: 0.829}","{0: 0.846, 1: 0.992, 2: 0.995, 3: 0.854}"
{2: 0.86},2,IDSA-PIP,0.811,1660,0.909,0.911,"{0: 0.981, 1: 0.876, 2: 0.862, 3: 0.884}","{0: 0.976, 1: 0.877, 2: 0.858, 3: 0.947}","{0: 0.813, 1: 0.982, 2: 0.99, 3: 0.894}","{0: 0.809, 1: 0.992, 2: 0.99, 3: 0.866}"
{2: 0.86},3,Full MIP,0.803,3187,0.927,0.927,"{0: 0.969, 1: 0.913, 2: 0.87, 3: 0.94}","{0: 0.975, 1: 0.92, 2: 0.843, 3: 0.935}","{0: 0.857, 1: 0.99, 2: 0.992, 3: 0.821}","{0: 0.853, 1: 0.987, 2: 0.99, 3: 0.878}"
{2: 0.86},3,PIP,0.811,1213,0.912,0.916,"{0: 0.969, 1: 0.883, 2: 0.865, 3: 0.919}","{0: 0.976, 1: 0.901, 2: 0.836, 3: 0.923}","{0: 0.822, 1: 0.989, 2: 0.99, 3: 0.825}","{0: 0.828, 1: 0.987, 2: 0.99, 3: 0.878}"
{2: 0.86},3,ISA-PIP,0.805,774,0.923,0.924,"{0: 0.97, 1: 0.907, 2: 0.864, 3: 0.923}","{0: 0.975, 1: 0.917, 2: 0.84, 3: 0.935}","{0: 0.848, 1: 0.989, 2: 0.992, 3: 0.825}","{0: 0.848, 1: 0.987, 2: 0.99, 3: 0.878}"
{2: 0.86},3,IDSA-PIP,0.817,1632,0.909,0.908,"{0: 0.98, 1: 0.873, 2: 0.865, 3: 0.905}","{0: 0.98, 1: 0.885, 2: 0.836, 3: 0.88}","{0: 0.81, 1: 0.985, 2: 0.99, 3: 0.886}","{0: 0.809, 1: 0.981, 2: 0.99, 3: 0.89}"
{2: 0.86},4,Full MIP,0.786,1453,0.935,0.93,"{0: 0.972, 1: 0.931, 2: 0.866, 3: 0.946}","{0: 0.966, 1: 0.935, 2: 0.846, 3: 0.915}","{0: 0.875, 1: 0.99, 2: 0.992, 3: 0.85}","{0: 0.871, 1: 0.989, 2: 0.99, 3: 0.793}"
{2: 0.86},4,PIP,0.807,711,0.921,0.916,"{0: 0.976, 1: 0.9, 2: 0.861, 3: 0.926}","{0: 0.965, 1: 0.91, 2: 0.833, 3: 0.915}","{0: 0.838, 1: 0.989, 2: 0.992, 3: 0.866}","{0: 0.837, 1: 0.989, 2: 0.99, 3: 0.793}"
{2: 0.86},4,ISA-PIP,0.825,426,0.911,0.908,"{0: 0.97, 1: 0.881, 2: 0.862, 3: 0.925}","{0: 0.962, 1: 0.893, 2: 0.835, 3: 0.915}","{0: 0.817, 1: 0.987, 2: 0.987, 3: 0.854}","{0: 0.819, 1: 0.989, 2: 0.985, 3: 0.793}"
