Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{2: 0.85, 4: 0.75}",1,ISA-PIP,0.903,257,0.903,0.888,0.938,0.958,"{0: 0.988, 1: 1.0, 2: 0.853, 3: 0.961, 4: 0.782, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.862, 3: 0.975, 4: 0.877, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.895, 4: 0.826, 5: 0.992, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.963, 4: 0.855, 5: 1.0, 6: 1.0}"
"{2: 0.85, 4: 0.75}",1,IDSA-PIP,0.913,1365,0.913,0.901,0.935,0.939,"{0: 0.992, 1: 1.0, 2: 0.853, 3: 0.891, 4: 0.809, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 0.988, 2: 0.833, 3: 0.879, 4: 0.881, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.87, 3: 0.956, 4: 0.737, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.976, 4: 0.711, 5: 1.0, 6: 1.0}"
"{2: 0.85, 4: 0.75}",2,Full MIP,-158499.084,3238,0.916,0.888,0.93,0.931,"{0: 0.972, 1: 1.0, 2: 0.794, 3: 0.991, 4: 0.811, 5: 0.969, 6: 0.988}","{0: 0.976, 1: 1.0, 2: 0.826, 3: 0.972, 4: 0.786, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.875, 4: 0.745, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.854, 4: 0.795, 5: 1.0, 6: 0.964}"
"{2: 0.85, 4: 0.75}",2,PIP,-200999.083,249,0.917,0.903,0.93,0.931,"{0: 0.976, 1: 1.0, 2: 0.78, 3: 0.991, 4: 0.81, 5: 0.969, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.826, 3: 0.959, 4: 0.786, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.875, 4: 0.741, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.854, 4: 0.795, 5: 1.0, 6: 0.964}"
"{2: 0.85, 4: 0.75}",2,ISA-PIP,0.909,248,0.909,0.879,0.942,0.939,"{0: 0.968, 1: 1.0, 2: 0.852, 3: 0.962, 4: 0.81, 5: 1.0, 6: 1.0}","{0: 0.976, 1: 1.0, 2: 0.872, 3: 0.925, 4: 0.831, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.887, 3: 0.927, 4: 0.794, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.902, 4: 0.831, 5: 0.988, 6: 0.964}"
"{2: 0.85, 4: 0.75}",2,IDSA-PIP,0.922,1473,0.922,0.898,0.935,0.943,"{0: 0.961, 1: 1.0, 2: 0.857, 3: 0.995, 4: 0.796, 5: 0.95, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.972, 4: 0.802, 5: 0.953, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.87, 3: 0.867, 4: 0.822, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.854, 4: 0.88, 5: 1.0, 6: 0.976}"
"{2: 0.85, 4: 0.75}",3,Full MIP,-262999.092,3066,0.908,0.87,0.931,0.919,"{0: 0.958, 1: 1.0, 2: 0.762, 3: 0.958, 4: 0.862, 5: 1.0, 6: 1.0}","{0: 0.976, 1: 1.0, 2: 0.725, 3: 0.949, 4: 0.797, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.915, 3: 0.927, 4: 0.681, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.902, 3: 0.904, 4: 0.622, 5: 1.0, 6: 1.0}"
"{2: 0.85, 4: 0.75}",3,PIP,0.912,1033,0.912,0.873,0.95,0.922,"{0: 0.98, 1: 1.0, 2: 0.868, 3: 0.955, 4: 0.849, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.812, 3: 0.925, 4: 0.741, 5: 1.0, 6: 0.976}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.947, 4: 0.819, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.841, 3: 0.892, 4: 0.732, 5: 1.0, 6: 1.0}"
"{2: 0.85, 4: 0.75}",3,ISA-PIP,0.911,246,0.911,0.865,0.95,0.922,"{0: 0.992, 1: 1.0, 2: 0.858, 3: 0.951, 4: 0.85, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.787, 3: 0.925, 4: 0.747, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.947, 4: 0.823, 5: 0.992, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.892, 4: 0.72, 5: 1.0, 6: 1.0}"
"{2: 0.85, 4: 0.75}",3,IDSA-PIP,0.922,1703,0.922,0.865,0.941,0.92,"{0: 0.946, 1: 1.0, 2: 0.872, 3: 0.915, 4: 0.849, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.802, 3: 0.904, 4: 0.744, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.907, 3: 0.955, 4: 0.75, 5: 0.992, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.841, 3: 0.904, 4: 0.707, 5: 1.0, 6: 1.0}"
