dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
ctmc,3,4,IDSA-PIP,6,1,0.66,0.581521739,,1308.04549,,0,0.582,0.553,0.582,0.556,0.795,0.78
ctmc,3,1,IDSA-PIP,3,1,0.68,0.599637681,,1060.840065,,0,0.6,0.512,0.6,0.512,0.713,0.621
ctmc,3,2,IDSA-PIP,7,1,0.68,0.593297101,,1496.779357,,0,0.593,0.488,0.593,0.488,0.828,0.705
ctmc,3,3,IDSA-PIP,3,1,0.68,0.567934783,,1173.541673,,0,0.568,0.561,0.568,0.561,0.775,0.694
ctmc,3,4,IDSA-PIP,6,1,0.68,0.592391304,,1164.438236,,0,0.592,0.534,0.592,0.547,0.787,0.745
ctmc,3,1,IDSA-PIP,3,1,0.7,0.576992754,,1074.824378,,0,0.577,0.515,0.578,0.518,0.815,0.737
ctmc,3,2,IDSA-PIP,7,1,0.7,0.574275362,,1271.086835,,0,0.574,0.48,0.575,0.485,0.819,0.723
ctmc,3,3,IDSA-PIP,3,1,0.7,0.563405797,,995.4331243,,0,0.563,0.566,0.564,0.566,0.769,0.694
ctmc,3,4,IDSA-PIP,6,1,0.7,0.576992754,,1391.194845,,0,0.577,0.523,0.577,0.528,0.807,0.767
ctmc,3,1,IDSA-PIP,3,1,0.72,0.577898551,,1078.635451,,0,0.578,0.52,0.578,0.523,0.814,0.736
ctmc,3,2,IDSA-PIP,7,1,0.72,0.585144928,,1296.06074,,0,0.585,0.474,0.585,0.488,0.83,0.753
ctmc,3,3,IDSA-PIP,3,1,0.72,0.558876812,,778.7695022,,0,0.559,0.556,0.559,0.556,0.794,0.73
ctmc,3,4,IDSA-PIP,6,1,0.72,0.591485507,,1225.14138,,0,0.591,0.531,0.591,0.537,0.775,0.731
ctmc,3,1,IDSA-PIP,3,1,0.74,0.582427536,,1081.618693,,0,0.582,0.518,0.582,0.518,0.815,0.75
ctmc,3,2,IDSA-PIP,7,1,0.74,0.592391304,,1738.143878,,0,0.592,0.493,0.592,0.496,0.798,0.696
ctmc,3,3,IDSA-PIP,3,1,0.74,0.557971014,,1040.342005,,0,0.558,0.55,0.558,0.55,0.756,0.672
ctmc,3,4,IDSA-PIP,6,1,0.74,0.597826087,,1839.286494,,0,0.598,0.515,0.599,0.518,0.807,0.734
ctmc,3,1,IDSA-PIP,3,1,0.76,0.59057971,,1119.677366,,0,0.591,0.52,0.591,0.52,0.797,0.714
ctmc,3,2,IDSA-PIP,7,1,0.76,0.592391304,,1550.906372,,0,0.592,0.504,0.593,0.504,0.815,0.693
ctmc,3,3,IDSA-PIP,3,1,0.76,0.564311594,,1118.742198,,0,0.564,0.564,0.565,0.566,0.792,0.735
ctmc,3,4,IDSA-PIP,6,1,0.76,0.593297101,,1177.42625,,0,0.593,0.542,0.593,0.547,0.794,0.753
ctmc,3,1,IDSA-PIP,3,1,0.78,0.582427536,,1142.871586,,0,0.582,0.509,0.582,0.509,0.81,0.734
ctmc,3,2,IDSA-PIP,7,1,0.78,0.565217391,,799.1227078,,0,0.565,0.488,0.566,0.501,0.819,0.727
ctmc,3,3,IDSA-PIP,3,1,0.78,0.547101449,,835.1043267,,0,0.547,0.556,0.547,0.564,0.821,0.76
ctmc,3,4,IDSA-PIP,6,1,0.78,0.594202899,,1841.724658,,0,0.594,0.545,0.594,0.547,0.799,0.772
ctmc,3,1,IDSA-PIP,3,1,0.8,0.577898551,,1353.909582,,0,0.578,0.52,0.578,0.52,0.81,0.747
ctmc,3,2,IDSA-PIP,7,1,0.8,0.580615942,,1501.364393,,0,0.581,0.472,0.581,0.474,0.833,0.702
ctmc,3,3,IDSA-PIP,3,1,0.8,0.505434783,,1095.605222,,0,0.505,0.515,0.505,0.515,0.91,0.887
ctmc,3,4,IDSA-PIP,6,1,0.8,0.576992754,,1562.209298,,0,0.577,0.52,0.577,0.528,0.835,0.765
ctmc,3,1,IDSA-PIP,3,1,0.82,0.55615942,,1231.155971,,0,0.556,0.501,0.556,0.501,0.83,0.759
ctmc,3,2,IDSA-PIP,7,1,0.82,0.581521739,,1405.147238,,0,0.582,0.477,0.582,0.48,0.853,0.726
ctmc,3,3,IDSA-PIP,3,1,0.82,0.469202899,,1010.553249,,0,0.469,0.463,0.47,0.466,0.969,0.951
ctmc,3,4,IDSA-PIP,6,1,0.82,0.589673913,,2113.175292,,0,0.59,0.537,0.591,0.556,0.826,0.758
ctmc,4,1,IDSA-PIP,9,1,0.64,0.617753623,,1295.517112,,0,0.618,0.55,0.618,0.553,0.711,0.643
ctmc,4,2,IDSA-PIP,7,1,0.64,0.619565217,,980.3917291,,0,0.62,0.501,0.62,0.518,0.717,0.645
ctmc,4,3,IDSA-PIP,9,1,0.64,0.619565217,,1289.531658,,0,0.62,0.553,0.62,0.564,0.692,0.61
ctmc,4,4,IDSA-PIP,3,1,0.64,0.601449275,,1058.571688,,0,0.601,0.528,0.601,0.534,0.679,0.614
ctmc,4,1,IDSA-PIP,9,1,0.66,0.61865942,,1283.142158,,0,0.619,0.547,0.62,0.558,0.713,0.664
ctmc,4,2,IDSA-PIP,7,1,0.66,0.626811594,,1621.419153,,0,0.627,0.504,0.628,0.512,0.716,0.633
ctmc,4,3,IDSA-PIP,9,1,0.66,0.606884058,,1660.716195,,0,0.607,0.566,0.607,0.58,0.691,0.615
ctmc,4,4,IDSA-PIP,3,1,0.66,0.59692029,,1034.787383,,0,0.597,0.531,0.597,0.531,0.687,0.623
ctmc,4,1,IDSA-PIP,9,1,0.68,0.632246377,,1677.544105,,0,0.632,0.534,0.632,0.542,0.716,0.637
ctmc,4,2,IDSA-PIP,7,1,0.68,0.616847826,,1172.691031,,0,0.617,0.496,0.617,0.509,0.717,0.645
ctmc,4,3,IDSA-PIP,9,1,0.68,0.612318841,,1905.395822,,0,0.612,0.588,0.613,0.599,0.702,0.649
ctmc,4,4,IDSA-PIP,3,1,0.68,0.601449275,,1252.390818,,0,0.601,0.539,0.601,0.542,0.694,0.625
ctmc,4,1,IDSA-PIP,9,1,0.7,0.585144928,,1162.816103,,0,0.585,0.509,0.585,0.528,0.824,0.756
ctmc,4,2,IDSA-PIP,7,1,0.7,0.592391304,,1140.952751,,0,0.592,0.491,0.593,0.493,0.809,0.711
ctmc,4,3,IDSA-PIP,9,1,0.7,0.599637681,,1665.322428,,0,0.6,0.553,0.6,0.572,0.796,0.691
ctmc,4,4,IDSA-PIP,3,1,0.7,0.580615942,,1049.860621,,0,0.581,0.518,0.581,0.523,0.788,0.755
ctmc,4,1,IDSA-PIP,9,1,0.72,0.59692029,,1542.154819,,0,0.597,0.518,0.597,0.526,0.82,0.729
ctmc,4,2,IDSA-PIP,7,1,0.72,0.570652174,,806.8544924,,0,0.571,0.499,0.571,0.504,0.807,0.785
ctmc,4,3,IDSA-PIP,9,1,0.72,0.601449275,,1459.777582,,0,0.601,0.561,0.601,0.566,0.826,0.716
ctmc,4,4,IDSA-PIP,3,1,0.72,0.578804348,,1033.387829,,0,0.579,0.523,0.579,0.531,0.777,0.777
ctmc,4,1,IDSA-PIP,9,1,0.74,0.604166667,,1722.267486,,0,0.604,0.504,0.604,0.52,0.853,0.761
ctmc,4,2,IDSA-PIP,7,1,0.74,0.580615942,,1072.851231,,0,0.581,0.499,0.581,0.504,0.801,0.785
ctmc,4,3,IDSA-PIP,9,1,0.74,0.605978261,,1781.37972,,0,0.606,0.537,0.606,0.55,0.788,0.659
ctmc,4,4,IDSA-PIP,3,1,0.74,0.574275362,,997.1720126,,0,0.574,0.509,0.574,0.509,0.791,0.734
ctmc,4,1,IDSA-PIP,9,1,0.76,0.606884058,,2279.411599,,0,0.607,0.515,0.607,0.523,0.849,0.753
ctmc,4,2,IDSA-PIP,7,1,0.76,0.593297101,,1528.187309,,0,0.593,0.463,0.594,0.469,0.822,0.744
ctmc,4,3,IDSA-PIP,9,1,0.76,0.600543478,,2037.380924,,0,0.601,0.542,0.601,0.566,0.801,0.694
ctmc,4,4,IDSA-PIP,3,1,0.76,0.586956522,,1129.538164,,0,0.587,0.526,0.587,0.528,0.789,0.742
ctmc,4,1,IDSA-PIP,9,1,0.78,0.602355072,,1700.592218,,0,0.602,0.512,0.602,0.515,0.829,0.736
ctmc,4,2,IDSA-PIP,7,1,0.78,0.593297101,,1377.497263,,0,0.593,0.491,0.593,0.496,0.809,0.756
ctmc,4,3,IDSA-PIP,9,1,0.78,0.588768116,,1440.591978,,0,0.589,0.569,0.589,0.572,0.815,0.73
ctmc,4,4,IDSA-PIP,3,1,0.78,0.567028986,,1045.566226,,0,0.567,0.523,0.567,0.526,0.792,0.761
ctmc,4,1,IDSA-PIP,9,1,0.8,0.602355072,,1765.597055,,0,0.602,0.528,0.602,0.534,0.861,0.78
ctmc,4,2,IDSA-PIP,7,1,0.8,0.581521739,,1071.208873,,0,0.582,0.485,0.582,0.491,0.817,0.738
ctmc,4,3,IDSA-PIP,9,1,0.8,0.567028986,,2106.071354,,0,0.567,0.48,0.567,0.509,0.944,0.803
ctmc,4,4,IDSA-PIP,3,1,0.8,0.516304348,,979.3958809,,0,0.516,0.477,0.516,0.477,0.964,0.863
ctmc,4,1,IDSA-PIP,9,1,0.82,0.605072464,,1820.506927,,0,0.605,0.509,0.605,0.52,0.835,0.732
ctmc,4,2,IDSA-PIP,7,1,0.82,0.573369565,,1683.149897,,0,0.573,0.461,0.573,0.466,0.911,0.828
ctmc,4,3,IDSA-PIP,9,1,0.82,0.58423913,,2057.597958,,0,0.584,0.482,0.584,0.496,0.957,0.723
ctmc,4,4,IDSA-PIP,3,1,0.82,0.500905797,,955.8512063,,0,0.501,0.474,0.501,0.474,1,0.927
