run,type,beta_p,objective_value,optimality_gap,time,w,b,gamma_in_obj,train_acc_margin,train_accuracy,train_precision,train_recall,test_acc_margin,test_accuracy,test_precision,test_recall,violations_assumption_1,violations_assumption_2,violations_feasibilitytol,z_integrality_vio
1,full_mip,0.85,0.8241610738254853,0.18946796959828888,1567.34840798378,"[0.025549453423479918, -0.35637599908538853, -0.014315295363529046, 0.06168293135010039, 1.974472639768205, 3.09143134049331, -0.8047313040411339, 0.19080431090040229, -0.45319465180883256, 3.0274420737656236]",-10.915857377285903,0.0,0.8241610738255034,0.8299776286353467,0.8837209302325582,0.17040358744394618,0.8221476510067114,0.8281879194630872,0.8727272727272727,0.16161616161616163,0,0,0,0
1,full_mip_t300,0.85,0.8217002237136286,0.21101135544027977,322.48626685142517,"[-0.048507388314131816, -0.56530646666031, 0.5480655727240187, -0.026336718329620368, 1.9490339426256167, 3.002238302188239, -0.9933174093307411, 0.49235336670396634, -0.24420665829415356, 2.1306341748292024]",-10.382258222101015,0.0,0.8217002237136465,0.8281879194630872,0.8827160493827161,0.16031390134529147,0.8214765100671141,0.8295302013422818,0.8771929824561403,0.16835016835016836,0,0,0,0
1,full_mip_t600,0.85,0.823489932885888,0.19043738114645373,1998.8917310237885,"[-0.12374573919270082, -0.4667437810638854, 0.28335109854876683, 0.03965655664104629, 2.0428232549372387, 2.9701699173813676, -0.7446891179535133, 0.3198803420486346, -0.30372214204789205, 2.7052180501849556]",-10.679811752935914,0.0,0.823489932885906,0.829082774049217,0.8902439024390244,0.16367713004484305,0.8221476510067114,0.8295302013422818,0.8771929824561403,0.16835016835016836,0,0,0,0
1,fixed,0.85,0.8270693512304258,0.08033540708682618,602.8425703048706,"[-0.48020125446000517, -0.5201228897444317, 0.7871514121194183, 0.15567285121979269, 1.6122475742653872, 1.9305054303220262, -0.6348044658118424, 0.4275195534480227, -0.3291907228930695, 3.1225838457160027]",-7.5060669240651166,0.0,0.827069351230425,0.8353467561521253,0.8611111111111112,0.2085201793721973,0.8241610738255034,0.8335570469798658,0.8181818181818182,0.21212121212121213,0,0,0,0
1,shrinkage,0.85,0.8272930648769582,0.08058409951324952,1047.5342268943787,"[-0.6466064023683197, -0.395765631625345, 0.7148538339863442, 0.21691846809699913, 1.6256978515184928, 1.9041295467865405, -0.7164688146476395, 0.3315435396743398, -0.2794177740604329, 3.168598137235549]",-7.479175964908238,0.0,0.8272930648769575,0.8353467561521253,0.8577981651376146,0.20964125560538116,0.823489932885906,0.8342281879194631,0.8205128205128205,0.21548821548821548,0,0,0,0
2,full_mip,0.85,0.8268456375838744,0.19128787878790499,530.9881417751312,"[-0.7336034464916845, -0.37999473139191076, 1.0417406469317043, 0.254654545379434, 1.5149998562608793, 2.6600946146902666, -1.2920695409034546, 0.8777384292875724, 0.027966607863651793, 1.2171375807994418]",-7.977414054884786,0.0,0.8268456375838926,0.8337807606263982,0.8564593301435407,0.2006726457399103,0.8194630872483222,0.8308724832214766,0.7922077922077922,0.2053872053872054,0,0,0,0
2,full_mip_t300,0.85,0.8268456375838744,0.2024717189296469,838.0254380702972,"[-0.7336034464916845, -0.37999473139191076, 1.0417406469317043, 0.254654545379434, 1.5149998562608793, 2.6600946146902666, -1.2920695409034546, 0.8777384292875724, 0.027966607863651793, 1.2171375807994418]",-7.977414054884786,0.0,0.8268456375838926,0.8337807606263982,0.8564593301435407,0.2006726457399103,0.8194630872483222,0.8308724832214766,0.7922077922077922,0.2053872053872054,0,0,0,0
2,full_mip_t600,0.85,0.8268456375838744,0.20238095238097892,1131.8398001194,"[-0.7336034464916845, -0.37999473139191076, 1.0417406469317043, 0.254654545379434, 1.5149998562608793, 2.6600946146902666, -1.2920695409034546, 0.8777384292875724, 0.027966607863651793, 1.2171375807994418]",-7.977414054884786,0.0,0.8268456375838926,0.8337807606263982,0.8564593301435407,0.2006726457399103,0.8194630872483222,0.8308724832214766,0.7922077922077922,0.2053872053872054,0,0,0,0
2,fixed,0.85,0.8239373601789717,0.083084442030952,362.9252028465271,"[-0.6414664626959183, -0.21073519238396976, 0.7566565897900213, 0.510385796172395, 1.2286265350487908, 1.886348551469895, -1.8267377963425524, 0.676818824514104, -0.020024109025188253, 2.2422001425571634]",-6.609907087816989,0.0,0.8239373601789709,0.8369127516778524,0.8558951965065502,0.21973094170403587,0.8221476510067114,0.8375838926174497,0.8481012658227848,0.2255892255892256,0,0,0,0
2,shrinkage,0.85,0.8228187919463095,0.08292550299075487,635.9701368808746,"[-0.8606429751780916, -0.1412947965033307, 0.8857272283087174, 0.49567434019443085, 1.105856018715967, 1.6628845811806605, -2.4283569580065354, 0.3723290939571222, 0.3629956970764507, 1.6842383108786934]",-6.351652832452707,0.0,0.8228187919463087,0.8364653243847875,0.8815165876777251,0.2085201793721973,0.823489932885906,0.8328859060402685,0.8529411764705882,0.19528619528619529,0,0,0,0
3,full_mip,0.85,0.8248322147650826,0.1912123677787079,326.2534890174866,"[-0.13389463179651614, -0.5968870901376003, 0.8218602419587396, 0.10045534622591566, 2.034680837113232, 2.8265100855978162, -1.3645737798738735, 0.18461750122384638, -0.2045442407175857, 1.7319762453548742]",-9.135077019140084,0.0,0.8248322147651007,0.8304250559284116,0.8526315789473684,0.18161434977578475,0.8174496644295302,0.825503355704698,0.7846153846153846,0.1717171717171717,0,0,0,0
3,full_mip_t300,0.85,0.8248322147650826,0.20671083074736926,650.2736899852753,"[-0.13389463179651614, -0.5968870901376003, 0.8218602419587396, 0.10045534622591566, 2.034680837113232, 2.8265100855978162, -1.3645737798738735, 0.18461750122384638, -0.2045442407175857, 1.7319762453548742]",-9.135077019140084,0.0,0.8248322147651007,0.8304250559284116,0.8526315789473684,0.18161434977578475,0.8174496644295302,0.825503355704698,0.7846153846153846,0.1717171717171717,0,0,0,0
3,full_mip_t600,0.85,0.8248322147650826,0.20671083074736926,945.9788911342621,"[-0.13389463179651614, -0.5968870901376003, 0.8218602419587396, 0.10045534622591566, 2.034680837113232, 2.8265100855978162, -1.3645737798738735, 0.18461750122384638, -0.2045442407175857, 1.7319762453548742]",-9.135077019140084,0.0,0.8248322147651007,0.8304250559284116,0.8526315789473684,0.18161434977578475,0.8174496644295302,0.825503355704698,0.7846153846153846,0.1717171717171717,0,0,0,0
3,fixed,0.85,0.8259507829977636,0.0809859154929568,375.39599323272705,"[-0.6012008619795268, -0.44459306320822173, 0.7480842030490503, 0.25437703619111995, 1.2800084177224418, 1.6251025945695345, -2.0075194574192587, 0.47915050299569517, 0.058609884498371026, 2.50135397836678]",-6.7151068972194,0.0,0.8259507829977628,0.8357941834451902,0.8691588785046729,0.2085201793721973,0.823489932885906,0.8328859060402685,0.8243243243243243,0.2053872053872054,0,0,0,0
3,shrinkage,0.85,0.8268456375838933,0.07981601731601658,696.3825790882111,"[-0.500719657311933, -0.217680858483172, 0.5300992238712585, 0.3211041816456823, 1.2399977463625262, 1.6571163484232347, -1.943167107651963, 0.39209891257897145, -0.05427718184127655, 3.143738781829982]",-6.916887990628752,0.0,0.8268456375838926,0.8364653243847875,0.8779342723004695,0.20964125560538116,0.823489932885906,0.8348993288590604,0.8493150684931506,0.20875420875420875,0,0,0,0
