run,type,beta_p,objective_value,optimality_gap,time,w,b,gamma_in_obj,train_acc_margin,train_accuracy,train_precision,train_recall,test_acc_margin,test_accuracy,test_precision,test_recall,violations_assumption_1,violations_assumption_2,violations_feasibilitytol,z_integrality_vio
1,full_mip,0.8,0.8275167785234716,0.1814003784806966,310.169704914093,"[0.010868039955593156, 0.010091609172201643, 0.09653916911258409, -0.015339734648740722, 2.3794250152739966, 3.543849528681733, -1.9452839731230804, 0.9708766396462534, -0.39008615925809376, 0.6376401311277224]",-10.629301629620995,0.0,0.8275167785234899,0.8319910514541387,0.8439024390243902,0.19394618834080718,0.8154362416107382,0.823489932885906,0.7361111111111112,0.17845117845117844,0,0,0,0
1,full_mip_t300,0.8,0.8275167785234716,0.20312077035450288,643.2359039783478,"[0.010868039955593156, 0.010091609172201643, 0.09653916911258409, -0.015339734648740722, 2.3794250152739966, 3.543849528681733, -1.9452839731230804, 0.9708766396462534, -0.39008615925809376, 0.6376401311277224]",-10.629301629620995,0.0,0.8275167785234899,0.8319910514541387,0.8439024390243902,0.19394618834080718,0.8154362416107382,0.823489932885906,0.7361111111111112,0.17845117845117844,0,0,0,0
1,full_mip_t600,0.8,0.8275167785234716,0.20312077035450288,927.579959154129,"[0.010868039955593156, 0.010091609172201643, 0.09653916911258409, -0.015339734648740722, 2.3794250152739966, 3.543849528681733, -1.9452839731230804, 0.9708766396462534, -0.39008615925809376, 0.6376401311277224]",-10.629301629620995,0.0,0.8275167785234899,0.8319910514541387,0.8439024390243902,0.19394618834080718,0.8154362416107382,0.823489932885906,0.7361111111111112,0.17845117845117844,0,0,0,0
1,fixed,0.8,0.8241610738255041,0.08251900108577541,375.2776572704315,"[-0.39169341358550674, -0.35292053171519605, 0.6660764579353825, 0.2795855492702731, 1.1868540386254502, 1.9818260624246888, -1.5232768388341955, 0.5803842177400373, -0.8427160669872227, 2.1946668228820765]",-5.964321167737608,0.0,0.8241610738255034,0.8400447427293065,0.828996282527881,0.25,0.8167785234899329,0.838255033557047,0.8043478260869565,0.24915824915824916,0,0,0,0
1,shrinkage,0.8,0.8266219239373609,0.08173207036535776,904.9405844211578,"[-0.03039528239378922, -0.3832817510622582, 0.5513481713413635, 0.46916956464435, 1.4503575296016629, 2.0931843356152737, -1.8526245939657926, 0.4833871346230488, -0.526927367508606, 2.1593242692438834]",-6.65066242972148,0.0,0.8266219239373602,0.8360178970917226,0.8117647058823529,0.2320627802690583,0.8194630872483222,0.836241610738255,0.7849462365591398,0.24579124579124578,0,0,0,0
2,full_mip,0.8,0.8275167785234717,0.1854555285212481,338.18790102005005,"[-0.506166784463892, -0.7154853158442042, 1.0513749065025069, 0.13599547434530207, 1.5249103620560267, 2.6306770976246785, -0.5329082517751185, 0.7654313164600991, -0.5428641087279726, 1.5941863822001996]",-7.764622810991391,0.0,0.8275167785234899,0.8308724832214766,0.8434343434343434,0.18721973094170405,0.8194630872483222,0.8268456375838926,0.7671232876712328,0.18855218855218855,0,0,0,0
2,full_mip_t300,0.8,0.8275167785234717,0.20216564409652893,655.1003670692444,"[-0.506166784463892, -0.7154853158442042, 1.0513749065025069, 0.13599547434530207, 1.5249103620560267, 2.6306770976246785, -0.5329082517751185, 0.7654313164600991, -0.5428641087279726, 1.5941863822001996]",-7.764622810991391,0.0,0.8275167785234899,0.8308724832214766,0.8434343434343434,0.18721973094170405,0.8194630872483222,0.8268456375838926,0.7671232876712328,0.18855218855218855,0,0,0,0
2,full_mip_t600,0.8,0.8275167785234717,0.20216564409652893,966.1186218261719,"[-0.506166784463892, -0.7154853158442042, 1.0513749065025069, 0.13599547434530207, 1.5249103620560267, 2.6306770976246785, -0.5329082517751185, 0.7654313164600991, -0.5428641087279726, 1.5941863822001996]",-7.764622810991391,0.0,0.8275167785234899,0.8308724832214766,0.8434343434343434,0.18721973094170405,0.8194630872483222,0.8268456375838926,0.7671232876712328,0.18855218855218855,0,0,0,0
2,fixed,0.8,0.822147651006712,0.08380952380952296,270.85945105552673,"[-0.9604432343941028, 0.024473272309731682, 0.8635722097241154, 0.1887018826100282, 1.0509635288349668, 2.0857881800355984, -2.2439649982059136, 0.7248364146210301, -0.2020048895116699, 1.6552513897528427]",-5.823319198278483,0.0,0.8221476510067114,0.8413870246085011,0.801980198019802,0.27242152466367714,0.8120805369127517,0.8395973154362416,0.7843137254901961,0.26936026936026936,0,0,0,0
2,shrinkage,0.8,0.8252796420581663,0.08186500406614163,783.250955581665,"[-0.7639370982127287, 0.0, 0.9421536802205613, 0.21816020360153254, 1.2313722263844176, 2.1134782945756045, -1.958246354637923, 0.6235325336096433, -0.01944093953150132, 2.129678669226088]",-6.889055562739911,0.0,0.8252796420581655,0.8351230425055929,0.8384279475982532,0.21524663677130046,0.8228187919463087,0.8375838926174497,0.8571428571428571,0.2222222222222222,0,0,0,0
3,full_mip,0.8,0.8252796420581474,0.1919219300623737,1593.1086480617523,"[0.015144311055996201, -0.8264229343317578, 0.8237214102767275, 0.15027940911856222, 1.8394934086554475, 3.1001607847478585, -1.3600489773384117, 0.3077639012833111, -0.1717532505814704, 1.4052116126104262]",-8.56219089403817,0.0,0.8252796420581655,0.8324384787472036,0.8177777777777778,0.2062780269058296,0.8194630872483222,0.8261744966442953,0.75,0.1919191919191919,0,0,0,0
3,full_mip_t300,0.8,0.8248322147650826,0.20552583944222766,429.7009677886963,"[-0.15399507921451216, -0.7582164500092109, 0.8224546442079793, 0.13600518471437695, 1.7233827626053948, 3.0348760765890455, -1.3573085894076828, 0.5155768244179185, -0.24885825875297443, 1.203183289586184]",-8.392457304344493,0.0,0.8248322147651007,0.8317673378076063,0.8125,0.2040358744394619,0.8194630872483222,0.8268456375838926,0.7532467532467533,0.19528619528619529,0,0,0,0
3,full_mip_t600,0.8,0.8248322147650826,0.20552583944222766,733.9951829910278,"[-0.15399507921451216, -0.7582164500092109, 0.8224546442079793, 0.13600518471437695, 1.7233827626053948, 3.0348760765890455, -1.3573085894076828, 0.5155768244179185, -0.24885825875297443, 1.203183289586184]",-8.392457304344493,0.0,0.8248322147651007,0.8317673378076063,0.8125,0.2040358744394619,0.8194630872483222,0.8268456375838926,0.7532467532467533,0.19528619528619529,0,0,0,0
3,fixed,0.8,0.8228187919463095,0.08238172920065165,300.1337077617645,"[-0.826613569111821, -0.12032346892304509, 0.6663286385696803, 0.2866583771284135, 1.1636068099493735, 1.9199962037678149, -2.0388631327912976, 0.6510470178362933, -0.15798581586600013, 2.168576966056258]",-6.005606357950394,0.0,0.8228187919463087,0.8425055928411633,0.8309859154929577,0.2645739910313901,0.8174496644295302,0.8375838926174497,0.8160919540229885,0.23905723905723905,0,0,0,0
3,shrinkage,0.8,0.8243847874720365,0.08276797829036538,606.4954609870911,"[-0.7501849576162336, -0.1045945273278904, 0.5800524008528278, 0.14318331515287985, 1.1386523849184433, 1.8905370152873693, -1.7384064016892022, 0.5962141543763527, -0.390164699543833, 2.668010143234962]",-6.1989078829027395,0.0,0.8243847874720358,0.8409395973154362,0.844106463878327,0.24887892376681614,0.8208053691275168,0.8369127516778524,0.813953488372093,0.2356902356902357,0,0,0,0
4,full_mip,0.8,0.825055928411615,0.19495661605208697,655.0947818756104,"[-0.06666016587580174, -0.6485514975222817, 0.7778265699118302, 0.08534781443999924, 1.7670698168035814, 2.7594570868411936, -1.0707165093572195, 0.993795000424461, -0.39070395224077753, 1.4398715865828529]",-8.375515410426685,0.0,0.8250559284116331,0.831096196868009,0.8186046511627907,0.19730941704035873,0.8241610738255034,0.8335570469798658,0.8450704225352113,0.20202020202020202,0,0,0,0
4,full_mip_t300,0.8,0.8246085011185502,0.20655497936570494,630.5573220252991,"[0.014868414290587316, -0.796497997653461, 0.7941264285606625, 0.03181981082500709, 1.717359912938485, 2.8319257746661046, -1.2323295941961299, 1.013281436508714, -0.2082305194981965, 1.3595601108626523]",-8.469691138421174,0.0,0.8246085011185682,0.8317673378076063,0.8301886792452831,0.19730941704035873,0.825503355704698,0.8335570469798658,0.8356164383561644,0.2053872053872054,0,0,0,0
4,full_mip_t600,0.8,0.8246085011185502,0.20655497936570494,1329.4335551261902,"[0.014868414290587316, -0.796497997653461, 0.7941264285606625, 0.03181981082500709, 1.717359912938485, 2.8319257746661046, -1.2323295941961299, 1.013281436508714, -0.2082305194981965, 1.3595601108626523]",-8.469691138421174,0.0,0.8246085011185682,0.8317673378076063,0.8301886792452831,0.19730941704035873,0.825503355704698,0.8335570469798658,0.8356164383561644,0.2053872053872054,0,0,0,0
4,fixed,0.8,0.8250559284116336,0.0612798264642076,495.59021830558777,"[-0.8921743482683661, -0.8728609222410291, 0.8269760861409106, 0.13360627224774507, 1.1305952284457812, 2.041576017834364, -1.3267368861307969, 0.5065700369103885, 0.049093119294425655, 2.2198110824861885]",-6.247902021076031,0.0,0.8250559284116331,0.8355704697986577,0.8127490039840638,0.22869955156950672,0.8194630872483222,0.8395973154362416,0.8625,0.23232323232323232,0,0,0,0
4,shrinkage,0.8,0.8259507829977636,0.0809859154929568,677.5104365348816,"[-0.1933716450386214, 0.013031739524904988, 0.8853554702245477, 0.06477449634611539, 1.0815991113071857, 1.8355052036220636, -2.5503869164212687, 0.3096856659712679, -0.6134226856411009, 2.452867065902923]",-6.636711760073508,0.0,0.8259507829977628,0.8384787472035794,0.8512396694214877,0.23094170403587444,0.8154362416107382,0.836241610738255,0.8533333333333334,0.21548821548821548,0,0,0,0
