run,type,beta_p,objective_value,optimality_gap,time,w,b,gamma_in_obj,train_acc_margin,train_accuracy,train_precision,train_recall,test_acc_margin,test_accuracy,test_precision,test_recall,violations_assumption_1,violations_assumption_2,violations_feasibilitytol,z_integrality_vio
1,full_mip,0.77,0.8748783389207243,0.14186355418410507,2962.2611889839172,"[0.0, -1.3827769553850384, 0.0, 0.1004217139062289, 0.03808188324659989, 0.0, 0.03702544670128405, 0.0, 0.0, 7.333413763553884, 0.0, 0.20169897762522837, -0.11065264853141521, -0.34386862085523795, 0.0, 0.3535033560516301, 0.004731373528794602, 0.09382526061465823]",-11.965403760475308,0.0,0.8748783389207311,0.8771493457337515,0.8028747433264887,0.273235499650594,0.8715536814790789,0.876419072332144,0.7823529411764706,0.27882599580712786,0,0,0,0
1,full_mip_t300,0.77,0.8739050502865726,0.1431352745142199,859.8819780349731,"[0.03839873090576918, -1.1732783235334943, -0.12830074013524423, -0.21797398821108666, 0.021411822058955282, 0.0, -0.006540423153577993, 0.0, -0.6736159237247827, 6.511001357574256, 0.0, 0.0, 0.03143774261456431, -0.7970530262203576, -0.0191139777106917, 0.3235724033717888, 0.018635121334511996, 0.039666419450908305]",-11.054548549669136,0.0,0.8739050502865794,0.8773656320968963,0.8087318087318087,0.2718378756114605,0.8705806033084658,0.8767434317223484,0.7904191616766467,0.27672955974842767,0,0,0,0
1,full_mip_t600,0.77,0.8739050502865726,0.1431352745142199,1143.3575870990753,"[0.03839873090576918, -1.1732783235334943, -0.12830074013524423, -0.21797398821108666, 0.021411822058955282, 0.0, -0.006540423153577993, 0.0, -0.6736159237247827, 6.511001357574256, 0.0, 0.0, 0.03143774261456431, -0.7970530262203576, -0.0191139777106917, 0.3235724033717888, 0.018635121334511996, 0.039666419450908305]",-11.054548549669136,0.0,0.8739050502865794,0.8773656320968963,0.8087318087318087,0.2718378756114605,0.8705806033084658,0.8767434317223484,0.7904191616766467,0.27672955974842767,0,0,0,0
1,fixed,0.77,0.8813669298150736,0.039631901840492596,580.87011551857,"[0.2597389995325099, -0.01831469811387545, -0.049445827163249384, -0.02971632611569831, 0.03986284671721091, 0.23982144909595957, 0.0, 0.0, -1.1103356446635402, 4.9698272001042385, -0.011591192603299957, 0.4542697328587504, 0.0563501850618603, 0.08566148669683724, 0.0946121001218513, 0.2864967304306093, 1.6606341768189605, 0.6333214039015466]",-6.649985899168187,0.0,0.8813669298150751,0.8873148048015572,0.7847730600292826,0.3745632424877708,0.8803113850145962,0.8893934479403178,0.7833333333333333,0.3941299790356394,0,0,0,0
1,shrinkage,0.77,0.8815832161782184,0.039622178606478736,985.8344295024872,"[0.4977859653312562, -0.18916221573839387, 0.002768916125239329, -0.05528238360588489, -0.046425959541605444, 0.11205538171544216, 0.03024409242120374, -0.5532213750247106, -1.1191563130260374, 5.002155119339845, 0.0, 0.09072422133964331, 0.13440595956973667, 0.02971252097901811, 0.0, 0.36438900513770456, 1.6961532352637256, 0.07635733584055338]",-6.7305579924588415,0.0,0.88158321617822,0.8888288093435709,0.7882689556509299,0.38504542278127185,0.8835549789166396,0.8900421667207266,0.7827868852459017,0.40041928721174,0,0,0,0
2,full_mip,0.77,0.8814750729966407,0.13340915849387375,1433.7814757823944,"[-0.032639485646496984, -2.906770207452625, 0.0, 0.20976807942077116, -0.17387752198443002, 0.01149151726915285, 0.014959364189450725, 0.0, -0.059437706252243136, 4.8177472762386815, -0.2369730557628034, 0.0053712447765314475, 0.0019592932035290855, -0.042909878926497884, 0.04640386102074847, 0.31627014187489, 0.9963793909362503, 0.1270419750448937]",-6.567811139380131,0.0,0.8814750729966475,0.8875310911647021,0.8353344768439108,0.3403214535290007,0.8718780408692831,0.8796626662341874,0.7849462365591398,0.3060796645702306,0,0,0,0
2,full_mip_t300,0.77,0.8814750729966407,0.13340915849387375,1764.8646841049194,"[-0.032639485646496984, -2.906770207452625, 0.0, 0.20976807942077116, -0.17387752198443002, 0.01149151726915285, 0.014959364189450725, 0.0, -0.059437706252243136, 4.8177472762386815, -0.2369730557628034, 0.0053712447765314475, 0.0019592932035290855, -0.042909878926497884, 0.04640386102074847, 0.31627014187489, 0.9963793909362503, 0.1270419750448937]",-6.567811139380131,0.0,0.8814750729966475,0.8875310911647021,0.8353344768439108,0.3403214535290007,0.8718780408692831,0.8796626662341874,0.7849462365591398,0.3060796645702306,0,0,0,0
2,full_mip_t600,0.77,0.8814750729966407,0.13340915849387375,2021.515841960907,"[-0.032639485646496984, -2.906770207452625, 0.0, 0.20976807942077116, -0.17387752198443002, 0.01149151726915285, 0.014959364189450725, 0.0, -0.059437706252243136, 4.8177472762386815, -0.2369730557628034, 0.0053712447765314475, 0.0019592932035290855, -0.042909878926497884, 0.04640386102074847, 0.31627014187489, 0.9963793909362503, 0.1270419750448937]",-6.567811139380131,0.0,0.8814750729966475,0.8875310911647021,0.8353344768439108,0.3403214535290007,0.8718780408692831,0.8796626662341874,0.7849462365591398,0.3060796645702306,0,0,0,0
2,fixed,0.77,0.885800800259542,0.03796850201440798,673.720016002655,"[0.0, -0.5246311826710198, -0.008379664264084189, -0.1232824102379683, -0.03234375924268457, 0.43950320516579133, 0.009201420879343981, 0.0, -1.6403526828279087, 5.302134354325679, 0.07736418695675386, -0.001354725300314791, 0.047796308234144665, 0.030495983772371726, -0.02406336756331093, -0.02117858447803013, 1.6062331836457542, 0.11168498043483972]",-5.965995357556207,0.0,0.8858008002595437,0.8927219638801773,0.7922769640479361,0.41579315164220826,0.8780408692831657,0.8845280570872527,0.7429718875502008,0.38784067085953877,0,0,0,0
2,shrinkage,0.77,0.8854763707148249,0.03810414983862652,1100.5561990737915,"[0.10964171139184486, -0.5719522521340963, -0.05509361142228997, -0.129360567903678, -0.12179112286748062, 0.6782260101500173, 0.0, 0.0, -0.9219114151949999, 5.4349952309877505, -0.02940482379716336, -0.06128168129406575, -0.15917354505333137, 0.007901040945137439, -0.030292185997462084, 0.08362412117673301, 1.566760494027708, 0.03859018565624339]",-5.569806463197793,0.0,0.8854763707148264,0.8930463934248946,0.7862694300518135,0.4241788958770091,0.8767434317223484,0.8845280570872527,0.7372549019607844,0.3941299790356394,0,0,0,0
