dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,3,3,C-PIP,0,0.95,,1877.970128,0,0.876,0.822,0.989,0.968
blsc,3,4,C-PIP,0,0.95,,1849.822319,0,0.942,0.898,0.99,0.957
blsc,3,1,C-PIP,0,0.96,,1147.614005,0,0.906,0.834,0.971,0.925
blsc,3,2,C-PIP,0,0.96,,1737.623535,0,0.904,0.885,0.961,0.971
blsc,3,3,C-PIP,0,0.96,,1658.205753,0,0.75,0.739,0.971,0.977
blsc,3,4,C-PIP,0,0.96,,1718.045783,0,0.929,0.898,0.967,0.985
blsc,3,1,C-PIP,0,0.97,,1396.294647,0,0.915,0.834,0.974,0.967
blsc,3,2,C-PIP,0,0.97,,1637.383327,0,0.874,0.866,0.974,0.94
blsc,3,3,C-PIP,0,0.97,,1908.90339,0,0.944,0.904,0.982,0.956
blsc,3,4,C-PIP,0,0.97,,1511.333925,0,0.91,0.904,0.972,0.986
blsc,4,1,C-PIP,0,0.88,,1428.553185,0,0.949,0.854,0.977,0.914
blsc,4,2,C-PIP,0,0.88,,1329.491647,0,0.932,0.815,0.99,0.938
blsc,4,3,C-PIP,0,0.88,,1901.206349,0,0.962,0.885,0.964,0.896
blsc,4,4,C-PIP,0,0.88,,1599.8491,0,0.964,0.866,0.977,0.882
blsc,4,1,C-PIP,0,0.89,,1283.50302,0,0.953,0.885,0.977,0.944
blsc,4,2,C-PIP,0,0.89,,1449.311562,0,0.947,0.841,0.986,0.912
blsc,4,3,C-PIP,0,0.89,,1743.287274,0,0.955,0.854,0.96,0.904
blsc,4,4,C-PIP,0,0.89,,1425.347513,0,0.953,0.854,0.947,0.868
blsc,4,1,C-PIP,0,0.9,,1191.572518,0,0.949,0.86,0.959,0.88
blsc,4,2,C-PIP,0,0.9,,1415.214407,0,0.921,0.815,0.966,0.871
blsc,4,3,C-PIP,0,0.9,,1513.215313,0,0.921,0.854,0.951,0.838
blsc,4,4,C-PIP,0,0.9,,1629.206881,0,0.912,0.866,0.942,0.878
blsc,4,1,C-PIP,0,0.91,,1545.331448,0,0.957,0.828,0.977,0.851
blsc,4,2,C-PIP,0,0.91,,1618.918319,0,0.94,0.854,0.958,0.928
blsc,4,3,C-PIP,0,0.91,,1501.261335,0,0.925,0.86,0.95,0.901
blsc,4,4,C-PIP,0,0.91,,1304.453394,0,0.932,0.834,0.956,0.825
blsc,4,1,C-PIP,0,0.92,,1750.078906,0,0.938,0.866,0.968,0.913
blsc,4,2,C-PIP,0,0.92,,1776.700317,0,0.927,0.834,0.971,0.938
blsc,4,3,C-PIP,0,0.92,,1140.621039,0,0.906,0.879,0.931,0.915
blsc,4,4,C-PIP,0,0.92,,1821.112671,0,0.936,0.828,0.968,0.844
blsc,4,1,C-PIP,0,0.93,,1489.17372,0,0.938,0.834,0.963,0.912
blsc,4,2,C-PIP,0,0.93,,2424.035841,0,0.947,0.873,0.981,0.904
blsc,4,3,C-PIP,0,0.93,,1798.652102,0,0.962,0.885,0.964,0.957
blsc,4,4,C-PIP,0,0.93,,1432.700299,0,0.934,0.847,0.986,0.924
blsc,4,1,C-PIP,0,0.94,,1406.379982,0,0.923,0.873,0.981,0.915
blsc,4,2,C-PIP,0,0.94,,1956.736649,0,0.942,0.873,0.959,0.917
blsc,4,3,C-PIP,0,0.94,,1972.253858,0,0.897,0.803,0.943,0.964
blsc,4,4,C-PIP,0,0.94,,2021.929199,0,0.947,0.847,0.964,0.868
blsc,4,1,C-PIP,0,0.95,,1752.530721,0,0.934,0.815,0.967,0.857
blsc,4,2,C-PIP,0,0.95,,1705.884138,0,0.957,0.847,0.991,0.984
blsc,4,3,C-PIP,0,0.95,,2021.742633,0,0.925,0.86,0.962,0.917
blsc,4,4,C-PIP,0,0.95,,2133.984689,0,0.927,0.854,0.977,0.926
