dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,3,2,C-PIP,0,0.74,0.688073394,1738.143878,0,0.592,0.496,0.798,0.696
ctmc,3,3,C-PIP,0,0.74,0.792207792,1040.342005,0,0.558,0.550,0.756,0.672
ctmc,3,4,C-PIP,0,0.74,0.672727273,1839.286494,0,0.599,0.518,0.807,0.734
ctmc,3,1,C-PIP,0,0.76,0.693251534,1119.677366,0,0.591,0.520,0.797,0.714
ctmc,3,2,C-PIP,0,0.76,0.688073394,1550.906372,0,0.593,0.504,0.815,0.693
ctmc,3,3,C-PIP,0,0.76,0.772070626,1118.742198,0,0.565,0.566,0.792,0.735
ctmc,3,4,C-PIP,0,0.76,0.685496183,1177.42625,0,0.593,0.547,0.794,0.753
ctmc,3,1,C-PIP,0,0.78,0.716951788,1142.871586,0,0.582,0.509,0.810,0.734
ctmc,3,2,C-PIP,0,0.78,0.769230769,799.1227078,0,0.566,0.501,0.819,0.727
ctmc,3,3,C-PIP,0,0.78,0.82781457,835.1043267,0,0.547,0.564,0.821,0.760
ctmc,3,4,C-PIP,0,0.78,0.682926829,1841.724658,0,0.594,0.547,0.799,0.772
ctmc,3,1,C-PIP,0,0.8,0.730407524,1353.909582,0,0.578,0.520,0.810,0.747
ctmc,3,2,C-PIP,0,0.8,0.722308892,1501.364393,0,0.581,0.474,0.833,0.702
ctmc,3,3,C-PIP,0,0.8,0.978494624,1095.605222,0,0.505,0.515,0.910,0.887
ctmc,3,4,C-PIP,0,0.8,0.733124019,1562.209298,0,0.577,0.528,0.835,0.765
ctmc,3,1,C-PIP,0,0.82,0.798045603,1231.155971,0,0.556,0.501,0.830,0.759
ctmc,3,2,C-PIP,0,0.82,0.719626168,1405.147238,0,0.582,0.480,0.853,0.726
ctmc,3,3,C-PIP,0,0.82,1.131274131,1010.553249,0,0.470,0.466,0.969,0.951
ctmc,3,4,C-PIP,0,0.82,0.695852535,2113.175292,0,0.591,0.556,0.826,0.758
ctmc,4,1,C-PIP,0,0.64,0.618768328,1295.517112,0,0.618,0.553,0.711,0.643
ctmc,4,2,C-PIP,0,0.64,0.614035088,980.3917291,0,0.620,0.518,0.717,0.645
