approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,ctmc_5buckets,3,1104,2,0,0.66,0.8,3600,2,-111.6,0,682.647409,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,5818,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,2,0,0.68,0.8,3600,2,-111.6,0,496.054563,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,5688,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,2,0,0.7,0.8,3600,2,-120.8,0,646.2554619,0,0.463768116,0.489130435,0.452574526,0.706382979,0.707865169,0.6625,7244,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,2,0,0.72,0.8,3600,2,-123.4,0,490.9505961,0,0.451992754,0.475543478,0.430894309,0.724867725,0.739726027,0.701754386,8838,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.54,0.1,3600,2,-485.4,0,578.854964,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5598,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.56,0.1,3600,2,-485.4,0,583.6626189,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5859,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.58,0.1,3600,2,-485.4,0,544.2857649,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5634,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.6,0.1,3600,2,-485.4,0,630.7868578,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5894,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.62,0.1,3600,2,-485.4,0,514.1903479,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,6436,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.64,0.1,3600,2,-485.4,0,774.2664869,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,7142,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.66,0.1,3600,2,-485.4,0,622.2850399,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5863,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.68,0.1,3600,2,-485.4,0,636.0498309,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5206,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.7,0.1,3600,2,-532.2,0,502.4279649,0,0.464673913,0.491847826,0.449864499,0.708860759,0.75,0.653846154,10226,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,2,0,0.72,0.1,3600,2,-548.4,0,655.279119,0,0.448369565,0.486413043,0.414634146,0.736842105,0.844444444,0.714285714,8891,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.64,0.8,3600,9,-105.4,0,3600.527574,97.72296015,0.54076087,0.529891304,0.490514905,0.690909091,0.639097744,0.611940299,1099,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.66,0.8,3600,9,-107.8,0,3600.231174,97.77365492,0.529891304,0.527173913,0.487804878,0.703927492,0.660377358,0.655172414,298,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.68,0.8,3600,9,-104.6,0,3600.320204,97.70554493,0.54076087,0.529891304,0.490514905,0.690909091,0.639097744,0.611940299,1333,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.7,0.8,3600,9,-105.6,0,3600.400278,97.72727273,0.536231884,0.524456522,0.490514905,0.702380952,0.657407407,0.64957265,1718,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.72,0.8,3600,9,-118.8,0,3600.979616,97.97979798,0.476449275,0.456521739,0.428184282,0.727626459,0.651685393,0.628205128,1320,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.74,0.8,3600,9,-109.6,0,3600.221832,97.81021898,0.525362319,0.516304348,0.479674797,0.740213523,0.709302326,0.695652174,300,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.76,0.8,3600,9,-123.8,0,3600.226857,98.06138934,0.461050725,0.445652174,0.422764228,0.760368664,0.701298701,0.676923077,772,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.78,0.8,3600,9,-124.8,0,3600.667136,98.07692308,0.460144928,0.472826087,0.401084011,0.792307692,0.868421053,0.682926829,327,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.8,0.8,3600,9,-126,0,3600.856523,98.0952381,0.454710145,0.475543478,0.406504065,0.803149606,0.860465116,0.72972973,1733,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,3,0,0.82,0.8,3600,9,-123.8,0,3600.185931,98.06138934,0.461050725,0.461956522,0.417344173,0.821138211,0.857142857,0.771428571,335,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.64,0.2,3600,9,-399.6,0,3600.353555,99.85245198,0.548913043,0.532608696,0.512195122,0.6587473,0.645962733,0.64028777,752,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.66,0.2,3600,9,-402,0,3600.266217,99.85365384,0.546195652,0.557065217,0.471544715,0.696022727,0.717948718,0.663366337,640,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.68,0.2,3600,9,-410.8,0,3600.870057,99.85410066,0.536231884,0.5625,0.463414634,0.696022727,0.717948718,0.663366337,415,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.7,0.2,3600,9,-417.4,0,3600.269472,99.85092903,0.528985507,0.52173913,0.47696477,0.702064897,0.705357143,0.656565657,785,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.72,0.2,3600,9,-429.4,0,3600.576771,99.86104863,0.515398551,0.510869565,0.452574526,0.72027972,0.736842105,0.636363636,1356,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.74,0.2,3600,9,-418.8,0,3600.805879,99.85952446,0.527173913,0.554347826,0.444444444,0.74822695,0.762376238,0.674698795,1282,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.76,0.2,3600,9,-452.4,0,3600.214436,99.86809562,0.489130435,0.502717391,0.428184282,0.764102564,0.772727273,0.661016949,1267,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.78,0.2,3600,9,-455,0,3600.61911,99.86785929,0.486413043,0.5,0.422764228,0.792134831,0.803278689,0.666666667,1654,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.8,0.2,3600,9,-481.4,0,3600.687897,99.86859583,0.456521739,0.467391304,0.414634146,0.801136364,0.8,0.716981132,1835,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,3,0,0.82,0.2,3600,9,-470,0,3600.332027,99.87426429,0.469202899,0.502717391,0.409214092,0.833333333,0.9,0.818181818,1744,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.64,0.5,3600,9,-253.5,0,3600.317504,99.40828402,0.546195652,0.554347826,0.52303523,0.654929577,0.649350649,0.575,1873,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.66,0.5,3600,9,-266,0,3600.194316,99.43609023,0.523550725,0.535326087,0.536585366,0.688172043,0.669064748,0.655737705,265,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.68,0.5,3600,9,-265,0,3600.937508,99.43396226,0.525362319,0.516304348,0.509485095,0.698795181,0.691666667,0.666666667,1658,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.7,0.5,3600,9,-264,0,3600.186654,99.43181818,0.527173913,0.505434783,0.525745257,0.7,0.691666667,0.672268908,306,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.72,0.5,3600,9,-267,0,3600.253197,99.43820225,0.522644928,0.505434783,0.512195122,0.72,0.693693694,0.679245283,291,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.74,0.5,3600,9,-302,0,3600.256379,99.50331126,0.458333333,0.472826087,0.441734417,0.778409091,0.764705882,0.745762712,370,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.76,0.5,3600,9,-290.5,0,3600.173438,99.48364888,0.480072464,0.497282609,0.460704607,0.765853659,0.777777778,0.714285714,447,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.78,0.5,3600,9,-292.5,0,3600.152858,99.48717949,0.475543478,0.491847826,0.474254743,0.781420765,0.757142857,0.776119403,654,0,0,0,0
