Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.6, 3: 0.4}",4,PIP,-950999.123,251,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.6, 3: 0.4}",4,ISA-PIP,-950999.123,248,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.6, 3: 0.4}",4,IDSA-PIP,0.839,3301,0.839,0.825,0.895,0.886,"{0: 0.603, 1: 1.0, 2: 1.0, 3: 0.953, 4: 1.0, 5: 1.0, 6: 0.815, 7: 1.0, 8: 0.96}","{0: 0.585, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.79, 7: 1.0, 8: 0.962}","{0: 0.975, 1: 1.0, 2: 1.0, 3: 0.117, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.975, 1: 1.0, 2: 1.0, 3: 0.043, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
"{0: 0.6, 1: 0.99, 3: 0.4}",1,Full MIP,-350999.239,2460,0.761,0.757,0.871,0.874,"{0: 0.601, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 0.997, 6: 0.653, 7: 1.0, 8: 1.0}","{0: 0.612, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 0.991, 6: 0.655, 7: 1.0, 8: 1.0}","{0: 0.928, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.942}","{0: 0.933, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.971}"
"{0: 0.6, 1: 0.99, 3: 0.4}",1,PIP,0.782,720,0.782,0.799,0.92,0.925,"{0: 0.607, 1: 1.0, 2: 1.0, 3: 0.833, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.621, 1: 1.0, 2: 1.0, 3: 0.833, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.925, 1: 1.0, 2: 1.0, 3: 0.385, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.917, 1: 1.0, 2: 1.0, 3: 0.427, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",1,ISA-PIP,0.797,291,0.797,0.813,0.921,0.921,"{0: 0.604, 1: 1.0, 2: 1.0, 3: 0.899, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.608, 1: 1.0, 2: 1.0, 3: 0.821, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.961, 1: 1.0, 2: 1.0, 3: 0.353, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.917, 1: 1.0, 2: 1.0, 3: 0.393, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",1,IDSA-PIP,0.812,2843,0.812,0.82,0.915,0.915,"{0: 0.602, 1: 1.0, 2: 1.0, 3: 0.915, 4: 1.0, 5: 1.0, 6: 0.982, 7: 1.0, 8: 0.954}","{0: 0.612, 1: 0.992, 2: 1.0, 3: 0.83, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.945}","{0: 0.967, 1: 1.0, 2: 1.0, 3: 0.305, 4: 1.0, 5: 1.0, 6: 0.985, 7: 1.0, 8: 1.0}","{0: 0.933, 1: 1.0, 2: 1.0, 3: 0.333, 4: 0.991, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",2,Full MIP,-872999.127,3600,0.873,0.855,0.885,0.883,"{0: 0.524, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.945, 7: 1.0, 8: 0.981}","{0: 0.529, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.908, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.981}"
"{0: 0.6, 1: 0.99, 3: 0.4}",2,PIP,0.783,586,0.783,0.766,0.92,0.922,"{0: 0.611, 1: 1.0, 2: 1.0, 3: 0.793, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.617, 1: 1.0, 2: 1.0, 3: 0.806, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.894, 1: 1.0, 2: 1.0, 3: 0.416, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.9, 1: 1.0, 2: 1.0, 3: 0.427, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",2,ISA-PIP,0.792,477,0.792,0.78,0.919,0.925,"{0: 0.605, 1: 1.0, 2: 1.0, 3: 0.815, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.997}","{0: 0.622, 1: 1.0, 2: 1.0, 3: 0.86, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.911, 1: 1.0, 2: 1.0, 3: 0.39, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.933, 1: 1.0, 2: 1.0, 3: 0.419, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",2,IDSA-PIP,0.8,2908,0.8,0.775,0.917,0.918,"{0: 0.603, 1: 0.997, 2: 1.0, 3: 0.756, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.997, 8: 0.997}","{0: 0.611, 1: 1.0, 2: 1.0, 3: 0.754, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.99, 8: 0.99}","{0: 0.867, 1: 1.0, 2: 1.0, 3: 0.416, 4: 0.997, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.85, 1: 1.0, 2: 1.0, 3: 0.444, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",3,Full MIP,-938999.127,3459,0.873,0.869,0.884,0.885,"{0: 0.516, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.96}","{0: 0.506, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.994}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",3,PIP,-944999.126,301,0.874,0.868,0.884,0.885,"{0: 0.515, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.963}","{0: 0.506, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.994}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",3,ISA-PIP,0.801,410,0.801,0.786,0.921,0.916,"{0: 0.603, 1: 1.0, 2: 1.0, 3: 0.91, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.587, 1: 1.0, 2: 1.0, 3: 0.944, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.969, 1: 1.0, 2: 1.0, 3: 0.345, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.983, 1: 1.0, 2: 1.0, 3: 0.291, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",3,IDSA-PIP,0.834,2613,0.834,0.827,0.904,0.904,"{0: 0.6, 1: 1.0, 2: 1.0, 3: 0.942, 4: 1.0, 5: 1.0, 6: 0.919, 7: 1.0, 8: 0.925}","{0: 0.579, 1: 1.0, 2: 1.0, 3: 0.957, 4: 1.0, 5: 1.0, 6: 0.947, 7: 1.0, 8: 0.945}","{0: 0.983, 1: 1.0, 2: 1.0, 3: 0.185, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.975, 1: 1.0, 2: 1.0, 3: 0.188, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",4,Full MIP,0.774,1079,0.774,0.769,0.921,0.917,"{0: 0.614, 1: 1.0, 2: 1.0, 3: 0.8, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.601, 1: 1.0, 2: 1.0, 3: 0.75, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.897, 1: 1.0, 2: 1.0, 3: 0.422, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.867, 1: 1.0, 2: 1.0, 3: 0.41, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 1: 0.99, 3: 0.4}",4,PIP,-950999.123,264,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.6, 1: 0.99, 3: 0.4}",4,ISA-PIP,-950999.123,282,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.6, 1: 0.99, 3: 0.4}",4,IDSA-PIP,0.836,2446,0.836,0.825,0.907,0.895,"{0: 0.603, 1: 1.0, 2: 1.0, 3: 0.928, 4: 1.0, 5: 1.0, 6: 0.913, 7: 1.0, 8: 0.942}","{0: 0.583, 1: 1.0, 2: 1.0, 3: 0.789, 4: 1.0, 5: 1.0, 6: 0.893, 7: 1.0, 8: 0.936}","{0: 0.969, 1: 1.0, 2: 1.0, 3: 0.219, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.967, 1: 1.0, 2: 1.0, 3: 0.128, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
