Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.55, 1: 0.99, 3: 0.4}",3,PIP,0.846,1179,0.846,0.84,0.908,0.901,"{0: 0.562, 1: 0.997, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.997}","{0: 0.545, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.199, 4: 0.997, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.145, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.55, 1: 0.99, 3: 0.4}",3,ISA-PIP,0.818,290,0.818,0.799,0.917,0.911,"{0: 0.589, 1: 0.997, 2: 1.0, 3: 0.971, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.571, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.994, 1: 1.0, 2: 1.0, 3: 0.288, 4: 0.997, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.231, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.55, 1: 0.99, 3: 0.4}",3,IDSA-PIP,0.858,1507,0.858,0.856,0.897,0.897,"{0: 0.564, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.942, 7: 1.0, 8: 0.945}","{0: 0.543, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.982, 7: 1.0, 8: 0.981}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.103, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.103, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 1: 0.99, 3: 0.4}",4,Full MIP,0.767,3365,0.767,0.753,0.922,0.919,"{0: 0.622, 1: 1.0, 2: 1.0, 3: 0.786, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.609, 1: 1.0, 2: 1.0, 3: 0.75, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.881, 1: 1.0, 2: 1.0, 3: 0.45, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.858, 1: 1.0, 2: 1.0, 3: 0.436, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 1: 0.99, 3: 0.4}",4,PIP,-600999.123,266,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.55, 1: 0.99, 3: 0.4}",4,ISA-PIP,-600999.123,263,0.877,0.867,0.885,0.883,"{0: 0.514, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.972}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
"{0: 0.55, 1: 0.99, 3: 0.4}",4,IDSA-PIP,0.86,1605,0.86,0.844,0.899,0.891,"{0: 0.556, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.976, 7: 1.0, 8: 0.96}","{0: 0.543, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.956, 7: 0.991, 8: 0.953}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.125, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.992, 1: 1.0, 2: 1.0, 3: 0.068, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
"{0: 0.6, 3: 0.4}",1,Full MIP,-834999.303,3172,0.697,0.693,0.825,0.829,"{0: 0.521, 1: 0.836, 2: 0.862, 3: 0.0, 4: 0.696, 5: 1.0, 6: 0.975, 7: 1.0, 8: 0.966}","{0: 0.517, 1: 0.838, 2: 0.888, 3: 0.0, 4: 0.731, 5: 1.0, 6: 0.981, 7: 1.0, 8: 0.937}","{0: 0.889, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.631, 5: 1.0, 6: 0.954, 7: 1.0, 8: 0.994}","{0: 0.883, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.667, 5: 1.0, 6: 0.954, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",1,PIP,-21999.2,641,0.8,0.811,0.919,0.925,"{0: 0.596, 1: 1.0, 2: 1.0, 3: 0.941, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.613, 1: 1.0, 2: 1.0, 3: 0.935, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.981, 1: 1.0, 2: 1.0, 3: 0.319, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.975, 1: 1.0, 2: 1.0, 3: 0.368, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",1,ISA-PIP,0.8,317,0.8,0.807,0.921,0.923,"{0: 0.604, 1: 1.0, 2: 1.0, 3: 0.899, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.612, 1: 1.0, 2: 1.0, 3: 0.852, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}","{0: 0.961, 1: 1.0, 2: 1.0, 3: 0.353, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.933, 1: 1.0, 2: 1.0, 3: 0.393, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
