dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
blsc,3,1,IDSA-PIP,,1,0.9,0.946581197,,1297.882978,,0,0.947,0.86,0.947,0.866,0.96,0.918
blsc,3,2,IDSA-PIP,,1,0.9,0.807692308,,1297.19214,,0,0.808,0.822,0.808,0.828,0.937,0.951
blsc,3,3,IDSA-PIP,,1,0.9,0.86965812,,1705.146091,,0,0.87,0.79,0.87,0.803,0.954,0.967
blsc,3,4,IDSA-PIP,,1,0.9,0.929487179,,1578.999438,,0,0.929,0.86,0.929,0.86,0.968,0.925
blsc,3,1,IDSA-PIP,,1,0.91,0.942307692,,1765.292155,,0,0.942,0.879,0.942,0.892,0.951,0.934
blsc,3,2,IDSA-PIP,,1,0.91,0.837606838,,1219.584447,,0,0.838,0.815,0.838,0.815,0.945,0.906
blsc,3,3,IDSA-PIP,,1,0.91,0.948717949,,1538.068295,,0,0.949,0.898,0.949,0.898,0.973,0.944
blsc,3,4,IDSA-PIP,,1,0.91,0.918803419,,1401.349034,,0,0.919,0.892,0.919,0.898,0.943,0.932
blsc,3,1,IDSA-PIP,,1,0.92,0.952991453,,1309.27487,,0,0.953,0.892,0.953,0.892,0.986,0.959
blsc,3,2,IDSA-PIP,,1,0.92,0.927350427,,1425.798509,,0,0.927,0.879,0.927,0.892,0.959,0.944
blsc,3,3,IDSA-PIP,,1,0.92,0.929487179,,1940.157334,,0,0.929,0.885,0.929,0.885,0.99,0.97
blsc,3,4,IDSA-PIP,,1,0.92,0.948717949,,1573.154593,,0,0.949,0.854,0.949,0.866,0.981,0.914
blsc,3,1,IDSA-PIP,,1,0.93,0.935897436,,1475.701784,,0,0.936,0.879,0.936,0.885,0.963,0.921
blsc,3,2,IDSA-PIP,,1,0.93,0.931623932,,1879.445568,,0,0.932,0.873,0.932,0.898,0.981,0.985
blsc,3,3,IDSA-PIP,,1,0.93,0.88034188,,2048.225204,,0,0.88,0.834,0.88,0.834,0.966,0.938
blsc,3,4,IDSA-PIP,,1,0.93,0.914529915,,1435.441522,,0,0.915,0.885,0.915,0.885,0.959,0.919
blsc,3,1,IDSA-PIP,,1,0.94,0.920940171,,1455.198372,,0,0.921,0.834,0.921,0.841,0.962,0.925
blsc,3,2,IDSA-PIP,,1,0.94,0.935897436,,1738.736825,,0,0.936,0.841,0.936,0.854,0.955,0.945
blsc,3,3,IDSA-PIP,,1,0.94,0.844017094,,1063.907487,,0,0.844,0.79,0.844,0.828,0.984,0.966
blsc,3,4,IDSA-PIP,,1,0.94,0.918803419,,1864.396465,,0,0.919,0.866,0.919,0.892,0.955,0.932
blsc,3,1,IDSA-PIP,,1,0.95,0.935897436,,1797.575526,,0,0.936,0.892,0.936,0.892,0.968,0.957
blsc,3,2,IDSA-PIP,,1,0.95,0.920940171,,1893.879736,,0,0.921,0.866,0.921,0.892,0.981,0.957
blsc,3,3,IDSA-PIP,,1,0.95,0.876068376,,1877.970128,,0,0.876,0.822,0.876,0.822,0.989,0.968
blsc,3,4,IDSA-PIP,,1,0.95,0.942307692,,1849.822319,,0,0.942,0.892,0.942,0.898,0.99,0.957
blsc,3,1,IDSA-PIP,,1,0.96,0.905982906,,1147.614005,,0,0.906,0.796,0.906,0.834,0.971,0.925
blsc,3,2,IDSA-PIP,,1,0.96,0.903846154,,1737.623535,,0,0.904,0.873,0.904,0.885,0.961,0.971
blsc,3,3,IDSA-PIP,,1,0.96,0.75,,1658.205753,,0,0.75,0.732,0.75,0.739,0.971,0.977
blsc,3,4,IDSA-PIP,,1,0.96,0.929487179,,1718.045783,,0,0.929,0.885,0.929,0.898,0.967,0.985
blsc,3,1,IDSA-PIP,,1,0.97,0.914529915,,1396.294647,,0,0.915,0.834,0.915,0.834,0.974,0.967
blsc,3,2,IDSA-PIP,,1,0.97,0.873931624,,1637.383327,,0,0.874,0.834,0.874,0.866,0.974,0.94
blsc,3,3,IDSA-PIP,,1,0.97,0.944444444,,1908.90339,,0,0.944,0.898,0.944,0.904,0.982,0.956
blsc,3,4,IDSA-PIP,,1,0.97,0.91025641,,1511.333925,,0,0.91,0.898,0.91,0.904,0.972,0.986
blsc,4,1,IDSA-PIP,,1,0.88,0.948717949,,1428.553185,,0,0.949,0.847,0.949,0.854,0.977,0.914
blsc,4,2,IDSA-PIP,,1,0.88,0.931623932,,1329.491647,,0,0.932,0.815,0.932,0.815,0.99,0.938
blsc,4,3,IDSA-PIP,,1,0.88,0.961538462,,1901.206349,,0,0.962,0.879,0.962,0.885,0.964,0.896
blsc,4,4,IDSA-PIP,,1,0.88,0.963675214,,1599.8491,,0,0.964,0.841,0.964,0.866,0.977,0.882
blsc,4,1,IDSA-PIP,,1,0.89,0.952991453,,1283.50302,,0,0.953,0.847,0.953,0.885,0.977,0.944
blsc,4,2,IDSA-PIP,,1,0.89,0.946581197,,1449.311562,,0,0.947,0.841,0.947,0.841,0.986,0.912
blsc,4,3,IDSA-PIP,,1,0.89,0.955128205,,1743.287274,,0,0.955,0.847,0.955,0.854,0.96,0.904
blsc,4,4,IDSA-PIP,,1,0.89,0.952991453,,1425.347513,,0,0.953,0.822,0.953,0.854,0.947,0.868
blsc,4,1,IDSA-PIP,,1,0.9,0.948717949,,1191.572518,,0,0.949,0.834,0.949,0.86,0.959,0.88
blsc,4,2,IDSA-PIP,,1,0.9,0.920940171,,1415.214407,,0,0.921,0.809,0.921,0.815,0.966,0.871
blsc,4,3,IDSA-PIP,,1,0.9,0.920940171,,1513.215313,,0,0.921,0.815,0.921,0.854,0.951,0.838
blsc,4,4,IDSA-PIP,,1,0.9,0.912393162,,1629.206881,,0,0.912,0.847,0.912,0.866,0.942,0.878
blsc,4,1,IDSA-PIP,,1,0.91,0.957264957,,1545.331448,,0,0.957,0.822,0.957,0.828,0.977,0.851
blsc,4,2,IDSA-PIP,,1,0.91,0.94017094,,1618.918319,,0,0.94,0.834,0.94,0.854,0.958,0.928
blsc,4,3,IDSA-PIP,,1,0.91,0.925213675,,1501.261335,,0,0.925,0.847,0.925,0.86,0.95,0.901
blsc,4,4,IDSA-PIP,,1,0.91,0.931623932,,1304.453394,,0,0.932,0.822,0.932,0.834,0.956,0.825
blsc,4,1,IDSA-PIP,,1,0.92,0.938034188,,1750.078906,,0,0.938,0.834,0.938,0.866,0.968,0.913
blsc,4,2,IDSA-PIP,,1,0.92,0.927350427,,1776.700317,,0,0.927,0.815,0.927,0.834,0.971,0.938
blsc,4,3,IDSA-PIP,,1,0.92,0.905982906,,1140.621039,,0,0.906,0.841,0.906,0.879,0.931,0.915
blsc,4,4,IDSA-PIP,,1,0.92,0.935897436,,1821.112671,,0,0.936,0.815,0.936,0.828,0.968,0.844
blsc,4,1,IDSA-PIP,,1,0.93,0.938034188,,1489.17372,,0,0.938,0.828,0.938,0.834,0.963,0.912
blsc,4,2,IDSA-PIP,,1,0.93,0.946581197,,2424.035841,,0,0.947,0.854,0.947,0.873,0.981,0.904
blsc,4,3,IDSA-PIP,,1,0.93,0.961538462,,1798.652102,,0,0.962,0.879,0.962,0.885,0.964,0.957
blsc,4,4,IDSA-PIP,,1,0.93,0.933760684,,1432.700299,,0,0.934,0.841,0.934,0.847,0.986,0.924
blsc,4,1,IDSA-PIP,,1,0.94,0.923076923,,1406.379982,,0,0.923,0.86,0.923,0.873,0.981,0.915
blsc,4,2,IDSA-PIP,,1,0.94,0.942307692,,1956.736649,,0,0.942,0.847,0.942,0.873,0.959,0.917
blsc,4,3,IDSA-PIP,,1,0.94,0.897435897,,1972.253858,,0,0.897,0.79,0.897,0.803,0.943,0.964
blsc,4,4,IDSA-PIP,,1,0.94,0.946581197,,2021.929199,,0,0.947,0.834,0.947,0.847,0.964,0.868
blsc,4,1,IDSA-PIP,,1,0.95,0.933760684,,1752.530721,,0,0.934,0.809,0.934,0.815,0.967,0.857
blsc,4,2,IDSA-PIP,,1,0.95,0.957264957,,1705.884138,,0,0.957,0.828,0.957,0.847,0.991,0.984
blsc,4,3,IDSA-PIP,,1,0.95,0.925213675,,2021.742633,,0,0.925,0.854,0.925,0.86,0.962,0.917
blsc,4,4,IDSA-PIP,,1,0.95,0.927350427,,2133.984689,,0,0.927,0.854,0.927,0.854,0.977,0.926
blsc,4,1,IDSA-PIP,,1,0.96,0.933760684,,1746.193133,,0,0.934,0.828,0.934,0.866,0.968,0.87
blsc,4,2,IDSA-PIP,,1,0.96,0.948717949,,2348.149179,,0,0.949,0.834,0.949,0.834,0.971,0.863
blsc,4,3,IDSA-PIP,,1,0.96,0.882478632,,1294.387038,,0,0.882,0.79,0.882,0.815,0.961,0.934
blsc,4,4,IDSA-PIP,,1,0.96,0.946581197,,2246.489689,,0,0.947,0.828,0.947,0.841,0.977,0.91
blsc,4,1,IDSA-PIP,,1,0.97,0.955128205,,2530.705526,,0,0.955,0.841,0.955,0.841,0.99,0.929
blsc,4,2,IDSA-PIP,,1,0.97,0.933760684,,1982.658047,,0,0.934,0.822,0.934,0.834,0.985,0.955
blsc,4,3,IDSA-PIP,,1,0.97,0.929487179,,2439.01282,,0,0.929,0.854,0.929,0.879,0.99,0.984
blsc,4,4,IDSA-PIP,,1,0.97,0.938034188,,1596.281447,,0,0.938,0.854,0.938,0.86,0.982,0.895
