dataset,split,method,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec,train_recall,test_recall
hmeq,1,Shrinkage PIP,0.9,0.829530201,0.078748652,1038,,0,0.83,0.821,0.837,0.833,0.901,0.816,0.204,0.209
hmeq,2,Full MIP ,0.9,0.824608501,0.197504069,2135,3601,0,0.825,0.826,0.832,0.833,0.944,0.914,0.17,0.178
hmeq,2,Early MIP (T300),0.9,0.819463087,0.213618993,1054,,0,0.819,0.815,0.824,0.821,0.973,0.97,0.122,0.108
hmeq,2,Early MIP (T600),0.9,0.819463087,0.213618993,1360,,0,0.819,0.815,0.824,0.821,0.973,0.97,0.122,0.108
hmeq,2,Fixed PIP,0.9,0.825279642,0.082407156,446,,0,0.825,0.818,0.834,0.83,0.908,0.867,0.188,0.175
hmeq,2,Shrinkage PIP,0.9,0.827740492,0.079189189,1429,,0,0.828,0.825,0.837,0.835,0.902,0.881,0.206,0.199
hmeq,3,Full MIP ,0.9,0.825727069,0.207637334,3016,3601,0,0.826,0.82,0.83,0.83,0.934,0.906,0.159,0.162
hmeq,3,Early MIP (T300),0.9,0.825503356,0.207964607,741,,0,0.826,0.819,0.83,0.828,0.958,0.918,0.152,0.152
hmeq,3,Early MIP (T600),0.9,0.825503356,0.207964607,1010,,0,0.826,0.819,0.83,0.828,0.958,0.918,0.152,0.152
hmeq,3,Fixed PIP,0.9,0.825727069,0.081820645,457,,0,0.826,0.823,0.836,0.833,0.911,0.853,0.196,0.195
hmeq,3,Shrinkage PIP,0.9,0.825727069,0.081007857,872,,0,0.826,0.821,0.836,0.834,0.903,0.866,0.198,0.195
hmeq,4,Full MIP ,0.9,0.821252796,0.211711313,507,3601,0,0.821,0.813,0.825,0.824,0.991,0.949,0.124,0.125
hmeq,4,Early MIP (T300),0.9,0.821252796,0.211711313,716,,0,0.821,0.813,0.825,0.824,0.991,0.949,0.124,0.125
hmeq,4,Early MIP (T600),0.9,0.821252796,0.211711313,1000,,0,0.821,0.813,0.825,0.824,0.991,0.949,0.124,0.125
hmeq,4,Fixed PIP,0.9,0.827293065,0.080043267,454,,0,0.827,0.825,0.834,0.834,0.909,0.903,0.189,0.189
hmeq,4,Shrinkage PIP,0.9,0.827740492,0.079459459,883,,0,0.828,0.821,0.832,0.833,0.918,0.962,0.176,0.168
