Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{1: 0.85, 2: 0.65}",2,IDSA-PIP,0.853,1136,0.854,0.82,"{0: 0.727, 1: 0.861, 2: 0.742}","{0: 0.0, 1: 0.838, 2: 0.471}","{0: 0.17, 1: 0.981, 2: 0.282}","{0: 0.0, 1: 0.97, 2: 0.148}"
"{1: 0.85, 2: 0.65}",3,Full MIP,-28999.218,901,0.828,0.812,"{0: 0.318, 1: 0.847, 2: 0.895}","{0: 0.2, 1: 0.84, 2: 0.7}","{0: 0.298, 1: 0.973, 2: 0.104}","{0: 0.188, 1: 0.955, 2: 0.13}"
"{1: 0.85, 2: 0.65}",3,PIP,0.82,554,0.847,0.812,"{0: 0.714, 1: 0.858, 2: 0.667}","{0: 0.0, 1: 0.846, 2: 0.448}","{0: 0.106, 1: 0.977, 2: 0.27}","{0: 0.0, 1: 0.945, 2: 0.241}"
"{1: 0.85, 2: 0.65}",3,ISA-PIP,0.842,259,0.852,0.845,"{0: 1.0, 1: 0.86, 2: 0.706}","{0: 0.0, 1: 0.866, 2: 0.636}","{0: 0.085, 1: 0.98, 2: 0.294}","{0: 0.0, 1: 0.961, 2: 0.389}"
"{1: 0.85, 2: 0.65}",3,IDSA-PIP,0.848,1339,0.85,0.84,"{0: 0.8, 1: 0.859, 2: 0.694}","{0: 0.333, 1: 0.861, 2: 0.621}","{0: 0.17, 1: 0.979, 2: 0.264}","{0: 0.062, 1: 0.961, 2: 0.333}"
"{1: 0.85, 2: 0.65}",4,Full MIP,0.828,3100,0.832,0.807,"{0: 0.31, 1: 0.85, 2: 0.913}","{0: 0.308, 1: 0.836, 2: 0.333}","{0: 0.271, 1: 0.975, 2: 0.13}","{0: 0.267, 1: 0.957, 2: 0.055}"
"{1: 0.85, 2: 0.65}",4,PIP,0.838,366,0.848,0.832,"{0: 0.571, 1: 0.856, 2: 0.704}","{0: 0.333, 1: 0.845, 2: 0.625}","{0: 0.083, 1: 0.985, 2: 0.235}","{0: 0.067, 1: 0.976, 2: 0.182}"
"{1: 0.85, 2: 0.65}",4,ISA-PIP,0.842,272,0.847,0.835,"{0: 0.778, 1: 0.852, 2: 0.717}","{0: 0.4, 1: 0.849, 2: 0.625}","{0: 0.146, 1: 0.986, 2: 0.204}","{0: 0.133, 1: 0.976, 2: 0.182}"
"{1: 0.85, 2: 0.65}",4,IDSA-PIP,0.845,1041,0.848,0.817,"{0: 0.714, 1: 0.855, 2: 0.702}","{0: 0.25, 1: 0.835, 2: 0.556}","{0: 0.208, 1: 0.984, 2: 0.204}","{0: 0.133, 1: 0.97, 2: 0.091}"
{1: 0.9},1,Full MIP,0.801,2611,0.811,0.782,"{0: 0.0, 1: 0.902, 2: 0.469}","{0: 0.0, 1: 0.894, 2: 0.419}","{0: 0.0, 1: 0.875, 2: 0.656}","{0: 0.0, 1: 0.839, 2: 0.667}"
{1: 0.9},1,PIP,0.827,1133,0.846,0.802,"{0: 0.333, 1: 0.9, 2: 0.558}","{0: 0.0, 1: 0.884, 2: 0.463}","{0: 0.085, 1: 0.924, 2: 0.589}","{0: 0.0, 1: 0.879, 2: 0.574}"
{1: 0.9},1,ISA-PIP,0.823,241,0.845,0.822,"{0: 0.417, 1: 0.9, 2: 0.557}","{0: 0.286, 1: 0.885, 2: 0.509}","{0: 0.106, 1: 0.92, 2: 0.601}","{0: 0.125, 1: 0.906, 2: 0.519}"
{1: 0.9},1,IDSA-PIP,0.831,1529,0.843,0.812,"{0: 0.294, 1: 0.9, 2: 0.559}","{0: 0.364, 1: 0.893, 2: 0.468}","{0: 0.106, 1: 0.921, 2: 0.583}","{0: 0.25, 1: 0.885, 2: 0.537}"
{1: 0.9},2,Full MIP,0.816,2247,0.825,0.812,"{0: 0.667, 1: 0.901, 2: 0.489}","{0: 0.0, 1: 0.87, 2: 0.5}","{0: 0.085, 1: 0.888, 2: 0.656}","{0: 0.0, 1: 0.909, 2: 0.463}"
{1: 0.9},2,PIP,0.807,1227,0.836,0.798,"{0: 0.472, 1: 0.9, 2: 0.533}","{0: 0.125, 1: 0.859, 2: 0.432}","{0: 0.362, 1: 0.905, 2: 0.552}","{0: 0.062, 1: 0.906, 2: 0.352}"
{1: 0.9},2,ISA-PIP,0.834,241,0.848,0.825,"{0: 0.615, 1: 0.9, 2: 0.561}","{0: 0.0, 1: 0.872, 2: 0.533}","{0: 0.17, 1: 0.922, 2: 0.595}","{0: 0.0, 1: 0.927, 2: 0.444}"
{1: 0.9},2,IDSA-PIP,0.831,1840,0.847,0.832,"{0: 0.75, 1: 0.901, 2: 0.549}","{0: 0.0, 1: 0.875, 2: 0.542}","{0: 0.191, 1: 0.916, 2: 0.613}","{0: 0.0, 1: 0.93, 2: 0.481}"
{1: 0.9},3,Full MIP,0.806,3391,0.829,0.818,"{0: 0.75, 1: 0.903, 2: 0.498}","{0: 0.5, 1: 0.908, 2: 0.475}","{0: 0.191, 1: 0.888, 2: 0.656}","{0: 0.125, 1: 0.87, 2: 0.704}"
