method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,balance_scale,4,2,0,0.97,231.0,0.0,3.1286330223083496,0.0,0.5064102564102564,0.47770700636942676,1.0,0.6666666666666666
C-BinOCT,balance_scale,1,3,0,0.88,106.99999998402777,0.9690130612516674,3600.1122210025787,0.0,0.7713675213675214,0.6942675159235668,0.88268156424581,0.7540983606557377
C-BinOCT,balance_scale,1,3,0,0.89,108.999999986,0.9684794582364529,3600.102072954178,0.0,0.7670940170940171,0.6751592356687898,0.8901734104046243,0.7543859649122807
C-BinOCT,balance_scale,1,3,0,0.9,123.99999998400001,0.9773225417736139,3600.0732550621033,0.0,0.7350427350427351,0.7006369426751592,0.9121621621621622,0.8723404255319149
C-BinOCT,balance_scale,1,3,0,0.91,123.999999984,0.9740835611279015,3600.504831790924,0.0,0.7350427350427351,0.7006369426751592,0.9121621621621622,0.8723404255319149
C-BinOCT,balance_scale,1,3,0,0.92,125.999999984,0.9714871658389096,3600.0586631298065,0.0,0.7307692307692307,0.6815286624203821,0.9225352112676056,0.8837209302325582
C-BinOCT,balance_scale,1,3,0,0.93,136.0000000000001,0.986385770415458,3600.089817047119,0.0,0.7094017094017094,0.6815286624203821,0.9302325581395349,0.8478260869565217
C-BinOCT,balance_scale,1,3,0,0.94,144.0,0.977330295220126,3600.082911968231,0.0,0.6923076923076923,0.6560509554140127,0.9401709401709402,0.8947368421052632
C-BinOCT,balance_scale,1,3,0,0.95,147.99999999999972,0.9762485475457675,3600.102355003357,0.0,0.6837606837606838,0.643312101910828,0.954954954954955,0.9117647058823529
C-BinOCT,balance_scale,1,3,0,0.96,153.0,0.9839112054604144,3600.104537010193,0.0,0.6730769230769231,0.6305732484076433,0.9607843137254902,0.9090909090909091
C-BinOCT,balance_scale,1,3,0,0.97,163.0,0.9837119980386976,3600.0925290584564,0.0,0.6517094017094017,0.6242038216560509,0.978021978021978,0.8235294117647058
C-BinOCT,balance_scale,2,3,0,0.88,113.99999998500002,0.9762421233923638,3600.0881021022797,0.0,0.7670940170940171,0.6942675159235668,0.7679324894514767,0.7051282051282052
