approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,balance_scale_onehot,3,468,2,0,0.96,0.4,3600,2,-141.2,0,181.7978179,0,0.5,0.493589744,0.496815287,1,1,0.833333333,5491,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,2,0,0.97,0.4,3600,2,-141.2,0,598.9126599,0,0.5,0.493589744,0.496815287,1,1,0.833333333,4985,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.88,0,3600,2,-189,0,200.5836902,0,0.596153846,0.596153846,0.573248408,0.918918919,0.884615385,0.769230769,1485,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.89,0,3600,2,-189,0,233.1825809,0,0.596153846,0.596153846,0.573248408,0.918918919,0.884615385,0.769230769,1316,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.9,0,3600,2,-189,0,379.1357322,0,0.596153846,0.596153846,0.573248408,0.918918919,0.884615385,0.769230769,1344,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.91,0,3600,2,-189,0,460.4856369,0,0.596153846,0.596153846,0.573248408,0.918918919,0.884615385,0.769230769,1299,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.92,0,3600,2,-231,0,1263.809342,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,5178,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.93,0,3600,2,-231,0,344.473758,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,4825,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.94,0,3600,2,-231,0,134.70439,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,4830,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.95,0,3600,2,-231,0,340.6077309,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,4755,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.96,0,3600,2,-231,0,264.1260359,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,4449,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,2,0,0.97,0,3600,2,-231,0,288.017942,0,0.506410256,0.512820513,0.477707006,1,1,0.666666667,4205,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.88,0.9,3600,9,-18.7,0,3600.140553,81.28342246,0.677350427,0.647435897,0.694267516,0.892561983,0.846153846,0.974358974,5961,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.89,0.9,3600,9,-18.7,0,3600.316597,80.99647841,0.677350427,0.666666667,0.694267516,0.914529915,0.942857143,0.906976744,4621,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.9,0.9,3600,2,-18.7,0,2469.202214,0,0.677350427,0.653846154,0.694267516,0.92173913,0.96875,0.888888889,39293,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.91,0.9,3600,9,-18.7,0,3600.380213,77.54010695,0.677350427,0.666666667,0.694267516,0.914529915,0.942857143,0.906976744,6919,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.92,0.9,3600,9,-18.7,0,3600.178732,68.44919786,0.677350427,0.653846154,0.694267516,0.92173913,0.96875,0.888888889,7555,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.93,0.9,3600,9,-22.2,0,3600.30783,84.23423423,0.583333333,0.58974359,0.585987261,0.982758621,1,0.954545455,5054,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.94,0.9,3600,9,-22.2,0,3600.452068,83.78378378,0.583333333,0.58974359,0.585987261,0.982758621,1,0.954545455,3523,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.95,0.9,3600,9,-22.2,0,3600.329771,80.18018018,0.583333333,0.58974359,0.585987261,0.982758621,1,0.954545455,5462,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.96,0.9,3600,9,-22.3,0,3600.218942,81.61434978,0.61965812,0.615384615,0.598726115,0.974025974,1,0.956521739,7965,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,3,0,0.97,0.9,3600,9,-22.2,0,3600.274747,76.57657658,0.583333333,0.58974359,0.585987261,0.982758621,1,0.954545455,9701,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.88,0.5,3600,9,-77,0,3600.087974,24.67532468,0.683760684,0.711538462,0.700636943,0.902439024,0.911111111,0.928571429,64606,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.89,0.5,3600,9,-76.5,0,3600.08072,11.76470588,0.685897436,0.698717949,0.707006369,0.890625,0.888888889,0.872340426,175567,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.9,0.5,3600,9,-77,0,3600.104442,3.246753247,0.683760684,0.717948718,0.700636943,0.909836066,0.895833333,0.906976744,589579,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.91,0.5,3600,9,-78,0,3600.08404,6.41025641,0.679487179,0.705128205,0.713375796,0.915966387,0.906976744,0.891304348,499342,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.92,0.5,3600,9,-91.5,0,3600.139887,23.49726776,0.621794872,0.615384615,0.605095541,0.93902439,0.925925926,0.892857143,401630,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.93,0.5,3600,9,-91.5,0,3600.170291,21.31147541,0.621794872,0.634615385,0.605095541,0.93902439,0.933333333,0.892857143,499430,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.94,0.5,3600,9,-92,0,3600.126543,17.93478261,0.61965812,0.641025641,0.611464968,0.95,0.965517241,0.96,542564,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.95,0.5,3600,9,-92,0,3600.175521,20.10869565,0.61965812,0.66025641,0.611464968,0.95,0.96875,0.96,486340,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.96,0.5,3600,9,-93,0,3600.078394,29.03225806,0.615384615,0.608974359,0.636942675,0.960526316,0.958333333,0.965517241,115946,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,3,0,0.97,0.5,3600,9,-93,0,3600.072838,23.65591398,0.615384615,0.634615385,0.636942675,0.973333333,0.965517241,0.933333333,301749,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.88,0.3,3600,9,-99.5,0,3600.257057,2.914572864,0.700854701,0.698717949,0.675159236,0.883211679,0.847826087,0.8125,453435,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.89,0.3,3600,9,-100.5,0,3600.095005,5.671641791,0.698717949,0.692307692,0.668789809,0.9140625,0.880952381,0.808510638,335198,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.9,0.3,3600,2,-100.5,0,3050.627134,0,0.698717949,0.692307692,0.668789809,0.9140625,0.880952381,0.808510638,381511,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.91,0.3,3600,9,-100.5,0,3600.258455,11.34328358,0.698717949,0.692307692,0.668789809,0.9140625,0.880952381,0.808510638,70790,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.92,0.3,3600,2,-101.9,0,3079.150914,0,0.694444444,0.685897436,0.668789809,0.941666667,0.923076923,0.822222222,310607,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.93,0.3,3600,2,-101.9,0,2869.192159,0,0.694444444,0.685897436,0.668789809,0.941666667,0.923076923,0.822222222,230671,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.94,0.3,3600,2,-101.9,0,2835.818867,0,0.694444444,0.685897436,0.668789809,0.941666667,0.923076923,0.822222222,231207,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.95,0.3,3600,9,-122.2,0,3600.098354,14.07528642,0.632478632,0.647435897,0.585987261,0.975903614,0.966666667,0.909090909,557671,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.96,0.3,3600,9,-122.2,0,3600.112925,14.40261866,0.632478632,0.647435897,0.573248408,0.963855422,0.966666667,0.954545455,452004,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,3,0,0.97,0.3,3600,9,-122.2,0,3600.117827,13.25695581,0.632478632,0.647435897,0.585987261,0.975903614,0.966666667,0.909090909,380210,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.88,0.3,3600,2,-99.5,0,2342.942512,0,0.700854701,0.737179487,0.675159236,0.902985075,0.9375,0.764705882,273319,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.89,0.3,3600,2,-99.5,0,2952.847597,0,0.700854701,0.737179487,0.675159236,0.902985075,0.9375,0.764705882,254323,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.9,0.3,3600,2,-99.5,0,1951.378215,0,0.700854701,0.737179487,0.675159236,0.902985075,0.9375,0.764705882,181848,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.91,0.3,3600,2,-101.2,0,3512.320967,0,0.696581197,0.730769231,0.675159236,0.9140625,0.936170213,0.808510638,274545,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.92,0.3,3600,2,-101.9,0,2071.776809,0,0.694444444,0.711538462,0.668789809,0.93495935,0.931818182,0.833333333,261949,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.93,0.3,3600,2,-101.9,0,2369.451844,0,0.694444444,0.711538462,0.668789809,0.93495935,0.931818182,0.833333333,175737,0,0,0,0
