dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,1,C-BinOCT,0,0.88,189.0,0.0,3.9339659214019775,0.0,0.5961538461538461,0.5923566878980892,0.8933333333333333,0.88
blsc,2,1,C-BinOCT,0,0.89,189.0,0.0,3.057451009750366,0.0,0.5961538461538461,0.5923566878980892,0.8933333333333333,0.88
blsc,2,1,C-BinOCT,0,0.9,192.999999993,0.0,2.53900408744812,0.0,0.5876068376068376,0.5987261146496815,0.9,0.8333333333333334
blsc,2,1,C-BinOCT,0,0.91,204.0,0.0,2.8692760467529297,0.0,0.5641025641025641,0.5732484076433121,0.9259259259259259,0.9047619047619048
blsc,2,1,C-BinOCT,0,0.92,204.0,0.9998823848113992,1.2388980388641357,0.0,0.5641025641025641,0.5732484076433121,0.9259259259259259,0.9047619047619048
blsc,2,1,C-BinOCT,0,0.93,218.0,0.9999999999995414,0.4920220375061035,0.0,0.5341880341880342,0.535031847133758,0.9459459459459459,0.9230769230769231
blsc,2,1,C-BinOCT,0,0.94,217.99999999700003,0.9999999999995414,1.2796988487243652,0.0,0.5341880341880342,0.5286624203821656,0.9714285714285714,0.8
blsc,2,1,C-BinOCT,0,0.95,238.0,0.9999999999995799,0.3934340476989746,0.0,0.49145299145299143,0.4713375796178344,1.0,0.8333333333333334
